ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
481,图形选择 1 - 位置 20,1,20,1,432.842157816598100,20,肯德基(洪山广场地铁站店),香辣鸡翅，泼辣小鲜菇卷套餐，麦香鸡块，中薯，雪顶茉莉，劲爆鸡米花
482,图形选择 1 - 位置 90,1,90,2,1266.867506114443800,90,肯德基,[]
483,图形选择 1 - 位置 76,1,76,3,1370.771612130825400,76,肯德基(关山大道DT店),香辣鸡翅，醇香土豆泥，九珍果汁饮料，黄金鸡块，美式，伴鸡伴虾堡土豆泥餐，吮指原味鸡套餐，新奥良腿堡土豆泥餐，吮指原味鸡，五味小吃桶，红豆派，冰美式，超级外送全家桶，葡式蛋挞，拿铁，伴鸡伴虾堡，香辣鸡腿堡土豆泥餐，老北京卷土豆泥餐，冰拿铁，老北京鸡肉卷，榛
484,图形选择 1 - 位置 45,1,45,4,1638.599628027077600,45,肯德基(玲珑汇餐厅店),香辣鸡腿堡，超级外送全家桶，葡式蛋挞，新奥良腿堡土豆泥餐，拿铁，吮指原味鸡，红豆派，香辣鸡腿堡土豆泥餐，冰拿铁，伴鸡伴虾堡，根骨肉相连加，老北京鸡肉卷，老北京卷土豆泥餐，榛果风味冰拿铁，香甜粟米棒，新奥尔良烤鸡腿堡，香辣鸡翅，醇香土豆泥，芙蓉荟蔬汤，劲爆
485,图形选择 1 - 位置 4,1,4,5,1667.224228607074800,4,肯德基(二七横路店),九珍果汁饮料，五味小吃桶，伴鸡伴虾堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰美式，劲爆鸡米花，吮指原味鸡，吮指原味鸡套餐，圣代，拿铁，新奥尔良烤翅，新奥尔良烤鸡腿堡，新奥良腿堡土豆泥餐，根骨肉相连加，榛果风味冰拿铁，红豆派，美式，老北京卷土豆泥餐，老北京鸡肉卷，
486,图形选择 1 - 位置 52,1,52,6,1699.705965447713000,52,肯德基(剑桥店),圣代，香辣鸡腿堡，鸡柳饭套餐，土豆泥，吮指原味儿鸡，手撕猪肉卷，帕尼尼，香辣鸡翅，芝士鲜虾卷，黄金鸡块，美式，鲜蔬沙拉，红豆派，冰美式，拿铁，草莓味冰淇淋花筒，九珍果汁饮料，雪顶咖啡，薯条，草莓圣代，巧克力味冰淇淋花筒，劲脆鸡腿堡，巧克力圣代，新奥尔良烤
487,图形选择 1 - 位置 53,1,53,7,2715.608164957703600,53,肯德基(徐东新世界店),新奥尔良烤翅，香辣鸡腿堡，炸鸡翅，爱尔兰雪顶咖啡，小吃拼盘，明星香辣鸡腿堡套餐，冰奶茶，芙蓉鲜蔬汤，冰淇淋之神，香辣鸡翅，翅桶，劲爆鸡米花，九珍果汁饮料，香辣鸡腿，芋圆冰淇淋，脆皮全鸡，甜玉米，双果圣代，蜜汁手扒鸡，蘑菇培根饭，草莓味冰淇淋花筒，红枣姜茶
489,图形选择 1 - 位置 3,1,3,9,3366.530556950522200,3,肯德基(光谷国际店),榛果风味热拿铁，榛果风味拿铁，伴鸡伴虾堡土豆泥餐，红豆派，冰美式，超级外送全家桶，葡式蛋挞，新奥良腿堡土豆泥餐，拿铁，冰拿铁，伴鸡伴虾堡，榛果风味冰拿铁，九珍果汁饮料，黄金鸡块，美式，吮指原味鸡套餐，鲜蔬沙拉，香辣鸡腿堡土豆泥餐，香辣鸡腿堡，醇香土豆泥，
490,图形选择 1 - 位置 77,1,77,10,3489.857145067203000,77,肯德基甜品站(汇和城购物中心),红豆派，全家桶，新奥尔良烤鸡腿堡，蔬菜沙拉，鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，伴柠伴桔鲜果茶，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，葡式蛋挞，现?
491,图形选择 1 - 位置 41,1,41,11,3621.782870395266400,41,肯德基(步行街店),新奥尔良烤鸡翅，原味蛋挞，新奥尔良烤鸡腿堡，圣代，嫩牛五方，吮指原味鸡块，薯条，爱尔兰雪顶咖啡，新奥尔良汉堡，醇香土豆泥，新奥尔良烤翅，雪顶，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，芙蓉鲜蔬汤，明星香辣鸡腿堡套餐，香菇鸡肉饭，蔬菜萨拉，油条被蛋卷，bbq手撕猪?
492,图形选择 1 - 位置 89,1,89,12,4312.439958559023600,89,肯德基(五环天地),[]
493,图形选择 1 - 位置 56,1,56,13,4352.003928285108500,56,肯德基(奥山世纪广场店),香醇土豆泥，至珍七虾堡，铁板烤鸡腿堡，新奥尔良腿宝，辣汉堡，脆皮炸鸡，海盐焦糖圣代，新奥尔良烤鸡腿堡，香辣鸡腿堡，雪顶咖啡，鸡米花，燕麦堡，劲脆鸡腿堡，深海鳕鱼堡，新奥尔良烤翅，火腿蛋堡
494,图形选择 1 - 位置 91,1,91,14,4353.231005406502800,91,座椅,{}
