ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度,FID,field_1,field_6
658,图形选择 1 - 位置 48,1,48,1,4074.768689425857200,48,肯德基(佰港城店),香辣鸡翅，葡式蛋挞，黄金鸡块，土豆泥，肯德基醇豆浆，老北京鸡肉卷，榛果风味冰拿铁，香甜粟米棒，芙蓉荟蔬汤，劲爆鸡米花，新奥尔良烤鸡腿堡，九珍果汁饮料，香辣鸡腿堡，美式，伴鸡伴虾堡土豆泥餐，吮指原味鸡套餐，新奥良腿堡土豆泥餐，吮指原味鸡，五味小吃桶，红豆派
659,图形选择 1 - 位置 66,1,66,2,4356.865630633598800,66,肯德基(海林广场),鸡米花，醇香土豆泥，海苔岩烧大鸡腿饭，伴柠伴桔鲜果茶，红豆派，全家桶，新奥尔良烤鸡腿堡，肯大大鸡排，KFC老北京鸡肉卷，吮指原味鸡，薯条，玉米沙拉，香辣鸡翅，芋缘花淇淋，黄金鸡块，KFC芋缘花淇淋，小食拼盘，可乐，KFC香辣（劲脆）鸡腿堡，现磨咖啡，葡式蛋挞
660,图形选择 1 - 位置 74,1,74,3,4588.670449694051100,74,肯德基(汉西店),葡式蛋挞，香辣鸡腿汉堡，嫩牛五方，新奥尔良烤翅，香辣鸡翅，上校鸡块，豆浆，培根蘑菇鸡肉饭，墨西哥鸡肉卷，香辣鸡腿堡，草莓圣代，川椒麻香翅，奥利奥圣代，五味小吃桶，鲜蔬沙拉，鸡肉汉堡，霜糖油条，豪霸鸡腿，蜂蜜花梨茶，蘑菇饭，草莓旋风，紫薯蛋挞，巧克力圣代，
661,图形选择 1 - 位置 43,1,43,4,4665.258111742559800,43,肯德基(京汉大道店),冰拿铁，榛果风味冰拿铁，香辣鸡翅，九珍果汁饮料，美式，吮指原味鸡套餐，五味小吃桶，冰美式，超级外送全家桶，拿铁，伴鸡伴虾堡土豆泥餐，黄金鸡块，鲜蔬沙拉，吮指原味鸡，香辣鸡腿堡土豆泥餐，香辣鸡腿堡，香甜粟米棒，醇香土豆泥，葡式蛋挞，芙蓉荟蔬汤，老北京鸡肉卷
662,图形选择 1 - 位置 75,1,75,5,4936.428327006935400,75,肯德基(光谷家乐福店),葡式蛋挞，新奥尔良烤翅，圣代，新奥尔良烤鸡腿堡，爱尔兰雪顶咖啡，吮指原味鸡块，黄金烤鸡腿堡，醇香土豆泥，薯条，鳕鱼条，脆皮甜筒，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，芙蓉鲜蔬汤，小吃拼盘，香菇鸡肉饭，蔬菜萨拉，油条被蛋卷，bbq手撕猪肉堡，香辣鸡腿，芋圆冰淇?
663,图形选择 1 - 位置 81,1,81,6,5820.207927051088500,81,肯德基(武大餐厅店),爱尔兰雪顶咖啡，新奥尔良烤翅，薯条，吮指原味鸡块，楚味烤翅，翅桶，劲爆鸡米花，九珍果汁饮料，九珍果汁，黄金鸡块，霸王翅，美式，黑椒牛柳饭，醇豆浆，蜜汁手扒鸡，蘑菇培根饭，草莓味冰淇淋花筒，红枣姜茶，法风烧饼，早餐油条稀饭套餐，劲脆鸡堡，九珍，香辣鸡翅根，
664,图形选择 1 - 位置 73,1,73,7,6846.070605012760100,73,肯德基(汉商21世纪购物中心),[]
665,图形选择 1 - 位置 67,1,67,8,7680.381570661576900,67,肯德基(武汉永旺梦乐城),上校鸡块，九珍果汁，五味小吃桶，醇香土豆泥，九珍果汁饮料，什菌烤鸡腿堡，伴鸡伴虾堡土豆泥餐，冰拿铁，冰淇淋之神，冰美式，劲爆鸡米花，卤水鸡腿饭，吮指原味鸡套餐，bbq手撕猪肉卷，bbq手撕猪肉堡，九珍，五珍q豆圣代，仙草奶茶，冰奶茶，冰碳烤珍珠奶茶，劲脆鸡堡，?
666,图形选择 1 - 位置 80,1,80,9,7886.432604959998600,80,肯德基(铁桥广场),[]
667,图形选择 1 - 位置 95,1,95,10,8246.672080212401900,95,肯德基(荟聚购物中心),{}
668,图形选择 1 - 位置 58,1,58,11,9527.035216247635600,58,肯德基(民意店),原味蛋挞，醇豆浆，香辣鸡腿堡，草莓圣代，川椒麻香翅，奥利奥圣代，五味小吃桶，鲜蔬沙拉，红豆派，鸡肉汉堡，霜糖油条，豪霸鸡腿，蜂蜜花梨茶，蘑菇饭，草莓旋风，紫薯蛋挞，炸鸡翅，巧克力圣代，圆筒冰淇淋，香辣肉串，草莓新地，玉米汁，炸鸡，海盐食糖蛋筒，枣蓉姜茶
669,图形选择 1 - 位置 29,1,29,12,9709.773475961148500,29,肯德基(新华路店),香辣鸡腿堡，吮指原味鸡，鲜蔬沙拉，红豆派，新奥尔良烤翅，圣代，冰美式，葡式蛋挞，拿铁，冰拿铁，榛果风味冰拿铁，香甜粟米棒，芙蓉荟蔬汤，劲爆鸡米花，香辣鸡翅，醇香土豆泥，黄金鸡块，美式，榛果风味热拿铁
670,图形选择 1 - 位置 69,1,69,13,9790.753335316323500,69,肯德基(百步亭店),新奥尔良烤翅，超级外送全家桶，红豆派，鲜蔬沙拉，圣代，冰美式，葡式蛋挞，新奥良腿堡土豆泥餐，拿铁，吮指原味鸡，香辣鸡腿堡土豆泥餐，冰拿铁，根骨肉相连加，老北京鸡肉卷，老北京卷土豆泥餐，榛果风味冰拿铁，香甜粟米棒，新奥尔良烤鸡腿堡，香辣鸡翅，醇香土豆泥，芙
671,图形选择 1 - 位置 9,1,9,14,9798.410634599906200,9,肯德基(常青花园店),辣翅，香辣鸡腿堡，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，芙蓉鲜蔬汤，明星香辣鸡腿堡套餐，小吃拼盘，冰淇淋之神，香辣鸡翅，翅桶，香菇鸡肉饭，蔬菜萨拉，油条被蛋卷，bbq手撕猪肉堡，香辣鸡腿，芋圆冰淇淋，脆皮全鸡，甜玉米，咖喱猪排饭，双果圣代，黑椒牛柳饭，蜜汁手?
672,图形选择 1 - 位置 19,1,19,15,9880.672603600176400,19,肯德基(鲁广店),葡式蛋挞，可乐，鳕鱼条，老北京卷土豆泥餐，冰拿铁，热牛奶，麦辣鸡腿汉堡，香辣鸡腿汉堡，榛果风味冰拿铁，嫩牛五方，咖喱鸡饭，香甜粟米棒，芙蓉荟蔬汤，卤水鸡腿饭，玉米沙拉，牛肉堡，鳕鱼汉堡，石榴派，皮蛋瘦肉粥，草莓沙冰，柚子茶，仙草奶茶，香菇鸡肉饭，蔬菜萨拉
673,图形选择 1 - 位置 27,1,27,16,9902.384559956191900,27,肯德基(东湖听涛景区店),海盐双旋甜筒，新奥尔良烤鸡腿堡，香辣鸡翅，草莓味冰淇淋花筒，九珍果汁饮料，黄金鸡块，香辣鸡腿堡，雪顶咖啡，草莓圣代，巧克力味冰淇淋花筒，劲脆鸡腿堡，巧克力圣代，吮指原味鸡，红豆派，新奥尔良烤翅，葡式蛋挞，香脆海苔虾，香甜栗米棒，伴鸡伴虾堡，bbq手撕猪肉卷?
674,图形选择 1 - 位置 93,1,93,17,9958.956153862394800,93,肯德基(武昌火车站二店餐厅)-洗手间,{}
675,图形选择 1 - 位置 33,1,33,18,10137.351083919821000,33,肯德基(泛海城市广场店),鲜蔬沙拉，红豆派，圣代，冰美式，超级外送全家桶，葡式蛋挞，拿铁，伴鸡伴虾堡，香辣鸡腿堡土豆泥餐，冰拿铁，根骨肉相连加，榛果风味冰拿铁，香甜粟米棒，芙蓉荟蔬汤，劲爆鸡米花，新奥尔良烤鸡腿堡，香辣鸡翅，汉堡，新奥尔良烤翅，香脆海苔虾，香甜栗米棒，bbq手撕猪肉?
676,图形选择 1 - 位置 35,1,35,19,10171.484743473808000,35,肯德基(循礼门店),原味蛋挞，脆皮甜筒，嫩牛五方，香辣鸡翅，香辣鸡腿堡，草莓旋风，红豆圆奶茶，新奥良腿堡土豆泥餐，拿铁，上校鸡块，黄桃蛋挞，香栗双层鸡腿堡，美味鸡柳，深海鳕鱼堡，小食拼盘，原味鸡腿堡，香菇滑鸡粥，香甜栗米棒，雪顶，超值午餐，田园脆鸡堡，玉米杯，泰式鸡肉卷，木
677,图形选择 1 - 位置 8,1,8,20,10172.311837908692000,8,肯德基(青年路店),新奥尔良烤鸡翅，超级外送全家桶，香辣腿堡，香辣鸡翅，芙蓉鲜蔬汤，明星香辣鸡腿堡套餐，小吃拼盘，冰淇淋之神，翅桶，劲爆鸡米花，九珍果汁饮料，香辣鸡腿，芋圆冰淇淋，脆皮全鸡，甜玉米，咖喱猪排饭，双果圣代，黑椒牛柳饭，醇豆浆，蜜汁手扒鸡，蘑菇培根饭，草莓味冰淇
678,图形选择 1 - 位置 34,1,34,21,10315.606362901368000,34,肯德基(汉口站),老北京鸡肉卷，芙蓉荟蔬汤，劲爆鸡米花，bbq手撕猪肉堡，新奥尔良烤鸡腿堡，香辣鸡翅，草莓味冰淇淋花筒，九珍果汁饮料，黄金鸡块，香辣鸡腿堡，雪顶咖啡，薯条，草莓圣代，巧克力味冰淇淋花筒，劲脆鸡腿堡，巧克力圣代，吮指原味鸡，红豆派，新奥尔良烤翅，葡式蛋挞，香脆?
